source_site,category_url,article_url,article_title,article_published_at,article_views,comment_index,comment,author,comment_date,likes,dislikes,scraped_at
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,14,"Тоя си мисли, че народната песен ""Девойко мари хубава"" е писана специално за него...",АГАТ а Кристи,10.04.2026 14:55,20,12,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,15,Освен това увеличението на доходите ако не е свързано с повишаване на производителността на труда няма от къде другаде да дойде а от заеми. Явно за такъв пакет говориш. Но заемите трябва да се връщат което обрича следващите поколения на мизерия и бедност и дори на рабство . Нищо чудно пакистанците вече са тука.,Като увеличаваш доходите става инфлация,10.04.2026 14:55,28,9,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,16,Искам да кажа че ние ще си вдигнем доходите а за вас ще има голям пакет от Киро на парапета но първо се подмийте,Асен Василев,10.04.2026 14:56,18,11,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,18,"До коментар #12 от ""Розовото пони Денкоф 🌈🦄"": Напълно съм съгласен с вас, госпожо.",Мирчев нискочелия селянин,10.04.2026 14:59,20,8,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,19,"Сopocнята твърди, че след влизането в еврозоната цените са се стабилизирали, нямало вече инфлация, а асанчо щях да ги овладява! Реторичния въпрос е кой лъже в случая?",от къдя на къдя,10.04.2026 14:59,24,9,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,20,"НАПЪВАМ ГО НА ЗАДНА ПРАШКА ,А ИН МИ РЕЧИ АРЕ МОЛИМ ТЕ ИЗКАРАЙ ГО АМА ПО НАВЪТРЕ.",ДОКОПАХ ТОЯ НА КЕНАНА В ГОРИЧКАТА,10.04.2026 14:59,19,9,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,21,"Ще вдигнете бабината си! Като бяхте с брадатия канадец,защо не ги вдигнахте?! От вашето кривителство започна масовото обедняване на хората в страната.Кирчо си хвана гащите и изчезна от политиката,време ти е и на тебе да се чупиш от нея.",имаджин,10.04.2026 15:00,25,8,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,23,"Тоя още не може да оправдае тия 18 милиарда за какво са похарчени и четири години загуби времето на Българите само с лъжи. Тук написа много правилно номер 7 ,че видяхме им лъжите и ако искаме пак да ни лъжат гладувайте пак за тях . Ония КЕШ е същото недоразумение, последните 4 години говори едни и същи глупости и буквално нарочно подписа такъв гаден договор за да ни набута пак да купуваме руски газ, на ушким щял бъде азерския.",Анджо,10.04.2026 15:03,16,11,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,24,"Много трудно е да обясниш това на прости хора, Асене. Виж коментарите. Само мисирки, плюят, пишат за педофили, нямат капка мозък. Тиквата го каза :лош материал Коментиран от #26",Мата Хари,10.04.2026 15:03,12,20,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,25,Аз вярвам на Асен. Те и съдружниците му ... вярваха.,Сапунджиев,10.04.2026 15:04,19,7,2026-04-11 17:24:00
